#Region
#Format: region,region,...
us-east-1,us-west-2,us-west-1,eu-west-1,ap-southeast-1,ap-northeast-1,ap-southeast-2,sa-east-1
#Format: Region,InstanceType,OS,Cost
#us-east-1, linux
eu-west-1,hi1.4xlarge,windows,3.58
eu-west-1,hs1.8xlarge,windows,4.931
#ap-southeast-1, linux
ap-southeast-1,m1.small,linux,0.08
ap-southeast-1,m1.medium,linux,0.16
ap-southeast-1,m1.large,linux,0.32
ap-southeast-1,m1.xlarge,linux,0.64
ap-southeast-1,m3.xlarge,linux,0.7
ap-southeast-1,m3.2xlarge,linux,1.4
ap-southeast-1,t1.micro,linux,0.02
ap-southeast-1,m2.xlarge,linux,0.495
ap-southeast-1,m2.2xlarge,linux,0.99
ap-southeast-1,m2.4xlarge,linux,1.98
ap-southeast-1,c1.medium,linux,0.183
ap-southeast-1,c1.xlarge,linux,0.73
ap-southeast-1,cc1.4xlarge,linux,NA
ap-southeast-1,cc2.8xlarge,linux,NA
ap-southeast-1,cr1.8xlarge,linux,NA
ap-southeast-1,cg1.4xlarge,linux,NA
ap-southeast-1,hi1.4xlarge,linux,NA
ap-southeast-1,hs1.8xlarge,linux,NA
#ap-southeast-1, windows
ap-southeast-1,m1.small,windows,0.115
ap-southeast-1,m1.medium,windows,0.23
ap-southeast-1,m1.large,windows,0.46
ap-southeast-1,m1.xlarge,windows,0.92
ap-southeast-1,m3.xlarge,windows,0.98
ap-southeast-1,m3.2xlarge,windows,1.96
ap-southeast-1,t1.micro,windows,0.02
ap-southeast-1,m2.xlarge,windows,0.57
ap-southeast-1,m2.2xlarge,windows,1.14
ap-southeast-1,m2.4xlarge,windows,2.28
ap-southeast-1,c1.medium,windows,0.285
ap-southeast-1,c1.xlarge,windows,1.14
ap-southeast-1,cc1.4xlarge,windows,NA
ap-southeast-1,cc2.8xlarge,windows,NA
ap-southeast-1,cr1.8xlarge,windows,NA
ap-southeast-1,cg1.4xlarge,windows,NA
ap-southeast-1,hi1.4xlarge,windows,NA
ap-southeast-1,hs1.8xlarge,windows,NA
#ap-northeast-1, linux
ap-northeast-1,m1.small,linux,0.088
ap-northeast-1,m1.medium,linux,0.175
ap-northeast-1,m1.large,linux,0.35
ap-northeast-1,m1.xlarge,linux,0.7
ap-northeast-1,m3.xlarge,linux,0.76
ap-northeast-1,m3.2xlarge,linux,1.52
ap-northeast-1,t1.micro,linux,0.027
ap-northeast-1,m2.xlarge,linux,0.505
ap-northeast-1,m2.2xlarge,linux,1.01
ap-northeast-1,m2.4xlarge,linux,2.02
ap-northeast-1,c1.medium,linux,0.185
ap-northeast-1,c1.xlarge,linux,0.74
ap-northeast-1,cc1.4xlarge,linux,NA
ap-northeast-1,cc2.8xlarge,linux,NA
ap-northeast-1,cr1.8xlarge,linux,NA
ap-northeast-1,cg1.4xlarge,linux,NA
ap-northeast-1,hi1.4xlarge,linux,NA
ap-northeast-1,hs1.8xlarge,linux,NA
#ap-northeast-1, windows
ap-northeast-1,m1.small,windows,0.115
ap-northeast-1,m1.medium,windows,0.23
ap-northeast-1,m1.large,windows,0.46
ap-northeast-1,m1.xlarge,windows,0.92
ap-northeast-1,m3.xlarge,windows,0.98
ap-northeast-1,m3.2xlarge,windows,1.96
ap-northeast-1,t1.micro,windows,0.035
ap-northeast-1,m2.xlarge,windows,0.57
ap-northeast-1,m2.2xlarge,windows,1.14
ap-northeast-1,m2.4xlarge,windows,2.28
ap-northeast-1,c1.medium,windows,0.285
ap-northeast-1,c1.xlarge,windows,1.14
ap-northeast-1,cc1.4xlarge,windows,NA
ap-northeast-1,cc2.8xlarge,windows,NA
ap-northeast-1,cr1.8xlarge,windows,NA
ap-northeast-1,cg1.4xlarge,windows,NA
ap-northeast-1,hi1.4xlarge,windows,NA
ap-northeast-1,hs1.8xlarge,windows,NA
#ap-southeast-2, linux
ap-southeast-2,m1.small,linux,0.08
ap-southeast-2,m1.medium,linux,0.16
ap-southeast-2,m1.large,linux,0.32
ap-southeast-2,m1.xlarge,linux,0.64
ap-southeast-2,m3.xlarge,linux,0.70
ap-southeast-2,m3.2xlarge,linux,1.40
ap-southeast-2,t1.micro,linux,0.02
ap-southeast-2,m2.xlarge,linux,0.495
ap-southeast-2,m2.2xlarge,linux,0.99
ap-southeast-2,m2.4xlarge,linux,1.98
ap-southeast-2,c1.medium,linux,0.183
ap-southeast-2,c1.xlarge,linux,0.730
ap-southeast-2,cc1.4xlarge,linux,NA
ap-southeast-2,cc2.8xlarge,linux,NA
ap-southeast-2,cr1.8xlarge,linux,NA
ap-southeast-2,cg1.4xlarge,linux,NA
ap-southeast-2,hi1.4xlarge,linux,NA
ap-southeast-2,hs1.8xlarge,linux,NA
#ap-southeast-2, windows
ap-southeast-2,m1.small,windows,0.115
ap-southeast-2,m1.medium,windows,0.23
ap-southeast-2,m1.large,windows,0.46
ap-southeast-2,m1.xlarge,windows,0.92
ap-southeast-2,m3.xlarge,windows,0.98
ap-southeast-2,m3.2xlarge,windows,1.96
ap-southeast-2,t1.micro,windows,0.02
ap-southeast-2,m2.xlarge,windows,0.57
ap-southeast-2,m2.2xlarge,windows,1.14
ap-southeast-2,m2.4xlarge,windows,2.28
ap-southeast-2,c1.medium,windows,0.285
ap-southeast-2,c1.xlarge,windows,1.14
ap-southeast-2,cc1.4xlarge,windows,NA
ap-southeast-2,cc2.8xlarge,windows,NA
ap-southeast-2,cr1.8xlarge,windows,NA
ap-southeast-2,cg1.4xlarge,windows,NA
ap-southeast-2,hi1.4xlarge,windows,NA
ap-southeast-2,hs1.8xlarge,windows,NA
#sa-east-1, linux
sa-east-1,m1.small,linux,0.08
sa-east-1,m1.medium,linux,0.16
sa-east-1,m1.large,linux,0.32
sa-east-1,m1.xlarge,linux,0.64
sa-east-1,m3.xlarge,linux,0.68
sa-east-1,m3.2xlarge,linux,1.36
sa-east-1,t1.micro,linux,0.027
sa-east-1,m2.xlarge,linux,0.54
sa-east-1,m2.2xlarge,linux,1.08
sa-east-1,m2.4xlarge,linux,2.16
sa-east-1,c1.medium,linux,0.2
sa-east-1,c1.xlarge,linux,0.8
sa-east-1,cc1.4xlarge,linux,NA
sa-east-1,cc2.8xlarge,linux,NA
sa-east-1,cr1.8xlarge,linux,NA
sa-east-1,cg1.4xlarge,linux,NA
sa-east-1,hi1.4xlarge,linux,NA
sa-east-1,hs1.8xlarge,linux,NA
#sa-east-1, windows
sa-east-1,m1.small,windows,0.111
sa-east-1,m1.medium,windows,0.222
sa-east-1,m1.large,windows,0.444
sa-east-1,m1.xlarge,windows,0.888
sa-east-1,m3.xlarge,windows,0.96
sa-east-1,m3.2xlarge,windows,1.92
sa-east-1,t1.micro,windows,0.037
sa-east-1,m2.xlarge,windows,0.64
sa-east-1,m2.2xlarge,windows,1.28
sa-east-1,m2.4xlarge,windows,2.56
sa-east-1,c1.medium,windows,0.28
sa-east-1,c1.xlarge,windows,1.12
sa-east-1,cc1.4xlarge,windows,NA
sa-east-1,cc2.8xlarge,windows,NA
sa-east-1,cr1.8xlarge,windows,NA
sa-east-1,cg1.4xlarge,windows,NA
sa-east-1,hi1.4xlarge,windows,NA
sa-east-1,hs1.8xlarge,windows,NA
